feature,importance_mean,importance_std
country,0.11167394414818572,0.002107396792302743
market_segment,0.09471335508474071,0.0021617769730482655
assigned_room_type,0.07953531426107421,0.0021946911438924946
total_of_special_requests,0.06559670419813285,0.00221767987821986
lead_time,0.05514717664697492,0.0014078906837676891
reserved_room_type,0.05308649819175583,0.0019671331517083835
customer_type,0.0501306717588168,0.0013841323539304758
deposit_type,0.049501691605721335,0.0016603246016977354
adr,0.03905238816325981,0.0019236504513414385
arrival_date_year,0.0320867595599762,0.0015724492695365242
distribution_channel,0.0200142029224875,0.0015357044791326929
required_car_parking_spaces,0.019511482210204247,0.0011330703576686418
hotel,0.019401197430212756,0.0012814444873707031
previous_cancellations,0.013517631821755494,0.000739382166761792
booking_changes,0.01255897208101774,0.001069855077657291
meal,0.010870362781185227,0.0008057980345659516
arrival_date_month,0.009794114114095254,0.00045159911831592857
arrival_date_week_number,0.005361119213636611,0.0004971771098476841
total_nights,0.0039926932361683985,0.0005638251004217192
arrival_date_day_of_month,0.003754202965934872,0.000626961869366683
stays_in_week_nights,0.003553017588338048,0.0008929283765067229
stays_in_weekend_nights,0.002691606688091952,0.0008061414717757372
children,0.0015430379130418003,0.0003057861118836982
previous_bookings_not_canceled,0.0012522235806119886,0.00036849032702357724
total_guests,0.0012260848240361443,0.0006384874134159644
adults,0.000926401214970618,0.0003696279011802194
days_in_waiting_list,0.0003632576225268802,0.00011838657649038786
is_repeated_guest,0.0002467488100962534,0.0002289591434812002
has_agent,0.0,0.0
has_company,0.0,0.0
has_children,0.0,0.0
babies,-0.00020065232363745134,5.436704261031143e-05
